[L]# 06:17:24--014  ThreadID:1 >> DBMgr Init Done.
[L]# 06:17:24--250  ThreadID:1 >> NetSvc init.
[L]# 06:17:24--264  ThreadID:1 >> Server Starting...
[L]# 06:17:24--265  ThreadID:1 >> ServerSession init Completed by NetSvc.
[L]# 06:17:24--395  ThreadID:1 >> TimerSvc init.
[L]# 06:17:24--395  ThreadID:1 >> CacheSvc init.
[L]# 06:17:24--396  ThreadID:1 >> LoginSys init.
[L]# 06:17:24--398  ThreadID:1 >> MatchSys init.
[L]# 06:17:24--404  ThreadID:1 >> RoomSys init.
[L]# 06:17:24--404  ThreadID:1 >> ServerRoot init Completed.
[L]# 06:17:29--411  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:17:29--417  ThreadID:1 >> 对战房间负载：0个
[L]# 06:17:33--167  ThreadID:8 >> SessionId:0 Client Connect1
[L]# 06:17:33--238  ThreadID:4 >> SessionId:0 RcvPack CMD:
[L]# 06:17:34--402  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:17:34--434  ThreadID:1 >> 对战房间负载：0个
[L]# 06:17:35--549  ThreadID:4 >> SessionId:0 RcvPack CMD:
[L]# 06:17:39--414  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:17:39--416  ThreadID:1 >> 对战房间负载：0个
[L]# 06:17:40--551  ThreadID:4 >> SessionId:0 RcvPack CMD:
[L]# 06:17:44--414  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:17:44--423  ThreadID:1 >> 对战房间负载：0个
[L]# 06:17:45--550  ThreadID:4 >> SessionId:0 RcvPack CMD:
[L]# 06:17:49--420  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:17:49--423  ThreadID:1 >> 对战房间负载：0个
[L]# 06:17:50--563  ThreadID:4 >> SessionId:0 RcvPack CMD:
[L]# 06:17:54--404  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:17:54--405  ThreadID:1 >> 对战房间负载：0个
[L]# 06:17:55--557  ThreadID:4 >> SessionId:0 RcvPack CMD:
[L]# 06:17:59--409  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:17:59--413  ThreadID:1 >> 对战房间负载：0个
[L]# 06:18:00--578  ThreadID:5 >> SessionId:0 RcvPack CMD:
[L]# 06:18:04--406  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:18:04--411  ThreadID:1 >> 对战房间负载：0个
[L]# 06:18:05--548  ThreadID:5 >> SessionId:0 RcvPack CMD:
[L]# 06:18:09--405  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:18:09--408  ThreadID:1 >> 对战房间负载：0个
[L]# 06:18:10--543  ThreadID:4 >> SessionId:0 RcvPack CMD:
[L]# 06:18:14--411  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:18:14--414  ThreadID:1 >> 对战房间负载：0个
[L]# 06:18:15--562  ThreadID:4 >> SessionId:0 RcvPack CMD:
[L]# 06:18:19--418  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:18:19--422  ThreadID:1 >> 对战房间负载：0个
[L]# 06:18:20--548  ThreadID:5 >> SessionId:0 RcvPack CMD:
[L]# 06:18:24--403  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:18:24--437  ThreadID:1 >> 对战房间负载：0个
[L]# 06:18:25--551  ThreadID:5 >> SessionId:0 RcvPack CMD:
[L]# 06:18:29--412  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:18:29--417  ThreadID:1 >> 对战房间负载：0个
[L]# 06:18:30--553  ThreadID:5 >> SessionId:0 RcvPack CMD:
[L]# 06:18:34--414  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:18:34--417  ThreadID:1 >> 对战房间负载：0个
[L]# 06:18:35--583  ThreadID:13 >> SessionId:0 RcvPack CMD:
